model,beta,time_M,observer_day,engine_fraction,Lbol_over_LEdd,bolometric_flux_erg_cm2_s,optical_r_flux_erg_cm2_s,optical_r_ab_magnitude,optical_r_flux_density_mJy,uvot_uvw2_flux_erg_cm2_s,uvot_uvw2_ab_magnitude,uvot_uvw2_flux_density_mJy,soft_x_flux_erg_cm2_s,hard_x_flux_erg_cm2_s
cool_reprocessed,10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,10.0,0.1116820434290472,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,20.0,0.2233640868580944,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,30.0,0.3350461302871416,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,40.0,0.4467281737161888,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,50.0,0.558410217145236,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,60.0,0.6700922605742832,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,70.0,0.7817743040033304,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,80.0,0.8934563474323776,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,90.0,1.0051383908614246,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,100.0,1.116820434290472,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,110.0,1.2285024777195193,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,120.0,1.3401845211485663,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,130.0,1.4518665645776134,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,140.0,1.5635486080066607,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,150.0,1.675230651435708,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,160.0,1.7869126948647551,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,170.0,1.8985947382938022,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,180.0,2.0102767817228493,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,190.0,2.121958825151897,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,200.0,2.233640868580944,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,210.0,2.345322912009991,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,220.0,2.4570049554390385,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,230.0,2.5686869988680856,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,240.0,2.6803690422971327,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,250.0,2.7920510857261798,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
cool_reprocessed,10,260.0,2.903733129155227,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
